root@ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
19:19:42.094416 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 261412187:261412295, ack 472347755, win 501, options [nop,nop,TS val 1730238418 ecr 407624490], length 108
19:19:42.094523 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 108:264, ack 1, win 501, options [nop,nop,TS val 1730238419 ecr 407624490], length 156
19:19:42.094589 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 264:368, ack 1, win 501, options [nop,nop,TS val 1730238419 ecr 407624490], length 104
19:19:42.108188 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 368, win 6997, options [nop,nop,TS val 407624585 ecr 1730238419], length 0
19:19:42.192589 IP ubuntu-s-1vcpu-1gb-tor1-01.49002 > 67.207.67.3.domain: Flags [S], seq 712145613, win 64240, options [mss 1460,sackOK,TS val 1942899155 ecr 0,nop,wscale 7,tfo  cookiereq,nop,nop], length 0
19:19:42.193831 IP 67.207.67.3.domain > ubuntu-s-1vcpu-1gb-tor1-01.49002: Flags [S.], seq 2934969508, ack 712145614, win 65160, options [mss 1460,sackOK,TS val 3581204166 ecr 1942899155,nop,wscale 9], length 0
19:19:42.193865 IP ubuntu-s-1vcpu-1gb-tor1-01.49002 > 67.207.67.3.domain: Flags [.], ack 1, win 502, options [nop,nop,TS val 1942899156 ecr 3581204166], length 0
19:19:42.193921 IP ubuntu-s-1vcpu-1gb-tor1-01.49002 > 67.207.67.3.domain: Flags [P.], seq 1:47, ack 1, win 502, options [nop,nop,TS val 1942899156 ecr 3581204166], length 46 27136+ PTR? 13.154.235.99.in-addr.arpa. (44)
19:19:42.194364 IP 67.207.67.3.domain > ubuntu-s-1vcpu-1gb-tor1-01.49002: Flags [.], ack 47, win 128, options [nop,nop,TS val 3581204167 ecr 1942899156], length 0
19:19:42.194496 IP 67.207.67.3.domain > ubuntu-s-1vcpu-1gb-tor1-01.49002: Flags [P.], seq 1:116, ack 47, win 128, options [nop,nop,TS val 3581204167 ecr 1942899156], length 115 27136 1/0/0 PTR cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com. (113)
19:19:42.194506 IP ubuntu-s-1vcpu-1gb-tor1-01.49002 > 67.207.67.3.domain: Flags [.], ack 116, win 502, options [nop,nop,TS val 1942899157 ecr 3581204167], length 0
19:19:42.195191 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 368:644, ack 1, win 501, options [nop,nop,TS val 1730238519 ecr 407624585], length 276
19:19:42.195319 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 644:932, ack 1, win 501, options [nop,nop,TS val 1730238519 ecr 407624585], length 288
19:19:42.195417 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 932:968, ack 1, win 501, options [nop,nop,TS val 1730238519 ecr 407624585], length 36
19:19:42.195436 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 968:1220, ack 1, win 501, options [nop,nop,TS val 1730238519 ecr 407624585], length 252
19:19:42.195556 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 1220:1500, ack 1, win 501, options [nop,nop,TS val 1730238520 ecr 407624585], length 280
19:19:42.195662 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 1500:1536, ack 1, win 501, options [nop,nop,TS val 1730238520 ecr 407624585], length 36
19:19:42.212129 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1536, win 6984, options [nop,nop,TS val 407624687 ecr 1730238520], length 0
19:19:42.296684 IP ubuntu-s-1vcpu-1gb-tor1-01.49002 > 67.207.67.3.domain: Flags [P.], seq 47:91, ack 116, win 502, options [nop,nop,TS val 1942899259 ecr 3581204167], length 44 10622+ PTR? 3.67.207.67.in-addr.arpa. (42)
19:19:42.297436 IP 67.207.67.3.domain > ubuntu-s-1vcpu-1gb-tor1-01.49002: Flags [P.], seq 116:227, ack 91, win 128, options [nop,nop,TS val 3581204270 ecr 1942899259], length 111 10622 NXDomain 0/1/0 (109)
19:19:42.297480 IP ubuntu-s-1vcpu-1gb-tor1-01.49002 > 67.207.67.3.domain: Flags [.], ack 227, win 502, options [nop,nop,TS val 1942899259 ecr 3581204270], length 0
19:19:42.298450 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 1536:1780, ack 1, win 501, options [nop,nop,TS val 1730238622 ecr 407624687], length 244
19:19:42.298607 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 1780:1816, ack 1, win 501, options [nop,nop,TS val 1730238623 ecr 407624687], length 36
19:19:42.298702 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 1816:2060, ack 1, win 501, options [nop,nop,TS val 1730238623 ecr 407624687], length 244
19:19:42.299308 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 2060:2616, ack 1, win 501, options [nop,nop,TS val 1730238623 ecr 407624687], length 556
19:19:42.299449 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 2616:2848, ack 1, win 501, options [nop,nop,TS val 1730238623 ecr 407624687], length 232
19:19:42.299576 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 2848:3140, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 292
19:19:42.299677 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 3140:3176, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 36
19:19:42.299729 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 3176:3380, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 204
19:19:42.299845 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 3380:3668, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 288
19:19:42.299945 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 3668:3704, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 36
19:19:42.300103 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 3704:3956, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 252
19:19:42.300222 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 3956:4244, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 288
